,age,age_onset,birthplace,filename,native_language,sex,speakerid,country,file_missing?,path,,
94,19,17,"doha, qatar",arabic29,arabic,male,1116,qatar,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic29.mp3,,
95,24,9,"doha, qatar",arabic3,arabic,male,17,qatar,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic3.mp3,,
96,19,8,"riyadh, saudi arabia",arabic30,arabic,female,1133,saudi arabia,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic30.mp3,,
97,47,12,"baghdad, iraq",arabic31,arabic,female,1181,iraq,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic31.mp3,,
98,42,12,"baghdad, iraq",arabic32,arabic,male,1203,iraq,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic32.mp3,,
99,28,11,"baghdad, iraq",arabic33,arabic,female,1204,iraq,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic33.mp3,,
100,34,6,"kuwait city, kuwait",arabic34,arabic,female,1253,kuwait,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic34.mp3,,
101,56,16,"jiddah, saudi arabia",arabic35,arabic,male,1391,saudi arabia,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic35.mp3,,
102,36,6,"jiddah, saudi arabia",arabic36,arabic,male,1392,saudi arabia,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic36.mp3,,
103,18,16,"jiddah, saudi arabia",arabic37,arabic,male,1393,saudi arabia,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic37.mp3,,
104,19,9,"shady grove, maryland, usa",arabic38,arabic,female,1394,usa,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic38.mp3,,
105,22,5,"jiddah, saudi arabia",arabic39,arabic,male,1405,saudi arabia,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic39.mp3,,
106,19,6,"sharjah, united arab emirates",arabic4,arabic,male,18,united arab emirates,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic4.mp3,,
107,19,13,"jiddah, saudi arabia",arabic40,arabic,male,1420,saudi arabia,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic40.mp3,,
108,25,7,"riyadh, saudi arabia",arabic41,arabic,male,1421,saudi arabia,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic41.mp3,,
109,21,13,"jiddah, saudi arabia",arabic42,arabic,male,1422,saudi arabia,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic42.mp3,,
110,29,8,"beirut, lebanon",arabic43,arabic,female,1426,lebanon,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic43.mp3,,
111,29,7,"jiddah, saudi arabia",arabic44,arabic,female,1455,saudi arabia,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic44.mp3,,
112,32,12,"fort collins, colorado, usa",arabic45,arabic,female,1456,usa,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic45.mp3,,
113,28,13,"jiddah, saudi arabia",arabic46,arabic,male,1457,saudi arabia,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic46.mp3,,
114,39,16,"jiddah, saudi arabia",arabic47,arabic,male,1458,saudi arabia,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic47.mp3,,
115,29,12,"mecca, saudi arabia",arabic48,arabic,male,1459,saudi arabia,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic48.mp3,,
116,26,8,"medina, saudi arabia",arabic49,arabic,male,1460,saudi arabia,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic49.mp3,,
117,19,15,"casablanca, morocco",arabic5,arabic,female,19,morocco,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic5.mp3,,
118,36,22,"jiddah, saudi arabia",arabic50,arabic,male,1461,saudi arabia,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic50.mp3,,
119,23,12,"jiddah, saudi arabia",arabic51,arabic,male,1486,saudi arabia,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic51.mp3,,
120,21,9,"jiddah, saudi arabia",arabic52,arabic,female,1487,saudi arabia,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic52.mp3,,
121,36,17,"rabat, morocco",arabic53,arabic,male,1526,morocco,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic53.mp3,,
122,22,7,"baghdad, iraq",arabic54,arabic,male,1565,iraq,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic54.mp3,,
123,70,33,"beirut, lebanon",arabic55,arabic,male,1569,lebanon,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic55.mp3,,
124,43,12,"ain defla, algeria",arabic56,arabic,male,1677,algeria,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic56.mp3,,
125,28,17,"beirut, lebanon",arabic57,arabic,female,1699,lebanon,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic57.mp3,,
126,34,9,"baghdad, iraq",arabic58,arabic,male,1700,iraq,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic58.mp3,,
127,55,9,"irbid, jordan",arabic59,arabic,male,1702,jordan,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic59.mp3,,
128,21,14.5,"sanaa, yemen",arabic6,arabic,male,20,yemen,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic6.mp3,,
129,60,14,"cairo, egypt",arabic60,arabic,male,1711,egypt,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic60.mp3,,
130,20,7,"manama, bahrain",arabic61,arabic,male,1753,bahrain,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic61.mp3,,
131,19,18,"ad dammam, saudi arabia",arabic62,arabic,male,1768,saudi arabia,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic62.mp3,,
132,28,10,"bani walid, libya",arabic63,arabic,female,1769,libya,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic63.mp3,,
133,23,6,"riyadh, saudi arabia",arabic64,arabic,male,1777,saudi arabia,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic64.mp3,,
134,32,10,"samail, oman",arabic65,arabic,female,1778,oman,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic65.mp3,,
135,50,14,"medina, saudi arabia",arabic66,arabic,male,1784,saudi arabia,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic66.mp3,,
136,43,22,"nasriah, iraq",arabic67,arabic,male,1785,iraq,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic67.mp3,,
137,20,6,"london, uk",arabic68,arabic,male,1805,uk,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic68.mp3,,
138,55,15,"kerma, sudan",arabic69,arabic,female,1810,sudan,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic69.mp3,,
139,18,15,"casablanca, morocco",arabic7,arabic,female,21,morocco,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic7.mp3,,
140,47,16,"casablanca, morocco",arabic70,arabic,male,1827,morocco,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic70.mp3,,
141,29,21,"kuwait city, kuwait",arabic71,arabic,female,1828,kuwait,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic71.mp3,,
142,20,11,"baghdad, iraq",arabic72,arabic,female,1832,iraq,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic72.mp3,,
143,47,7,"nazareth, israel",arabic73,arabic,female,1841,israel,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic73.mp3,,
144,18,4,"alexandria, egypt",arabic74,arabic,male,1870,egypt,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic74.mp3,,
145,26,2,"riyadh, saudi arabia",arabic75,arabic,female,1885,saudi arabia,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic75.mp3,,
146,25,4,"jiddah, saudi arabia",arabic76,arabic,male,1892,saudi arabia,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic76.mp3,,
147,18,4,"ad dammam, saudi arabia",arabic77,arabic,female,1894,saudi arabia,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic77.mp3,,
148,19,3,"washington, district of columbia, usa",arabic78,arabic,female,1897,usa,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic78.mp3,,
149,24,13,"medina, saudi arabia",arabic79,arabic,female,1899,saudi arabia,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic79.mp3,,
150,21,17,"casablanca, morocco",arabic8,arabic,male,22,morocco,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic8.mp3,,
151,25,11,"najran, saudi arabia",arabic80,arabic,male,1901,saudi arabia,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic80.mp3,,
152,22,17,"riyadh, saudi arabia",arabic81,arabic,male,1914,saudi arabia,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic81.mp3,,
153,42,12,"damascus, syria",arabic82,arabic,male,1917,syria,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic82.mp3,,
154,22,21,"riyadh, saudi arabia",arabic83,arabic,male,1920,saudi arabia,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic83.mp3,,
155,26,12,"medina, saudi arabia",arabic84,arabic,female,1927,saudi arabia,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic84.mp3,,
156,24,14,"ad dammam, saudi arabia",arabic85,arabic,female,1963,saudi arabia,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic85.mp3,,
157,28,3,"cairo, egypt",arabic86,arabic,male,1964,egypt,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic86.mp3,,
158,49,10,"kuwait city, kuwait",arabic87,arabic,female,2005,kuwait,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic87.mp3,,
159,19,4,"beirut, lebanon",arabic88,arabic,female,2008,lebanon,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic88.mp3,,
160,35,19,"baghdad, iraq",arabic89,arabic,female,2022,iraq,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic89.mp3,,
161,28,4,"jerusalem, israel",arabic9,arabic,female,23,israel,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic9.mp3,,
162,23,12,"tripoli, libya",arabic90,arabic,female,2036,libya,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic90.mp3,,
163,57,12,"riyadh, saudi arabia",arabic91,arabic,female,2086,saudi arabia,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic91.mp3,,
164,36,10,"baghdad, iraq",arabic92,arabic,male,2087,iraq,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic92.mp3,,
165,27,10,"baghdad, iraq",arabic93,arabic,female,2112,iraq,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic93.mp3,,
166,24,9,"abu dhabi, united arab emirates",arabic94,arabic,female,2114,united arab emirates,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic94.mp3,,
167,31,10,"kuwait city, kuwait",arabic95,arabic,female,2143,kuwait,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic95.mp3,,
168,21,7,"riyadh, saudi arabia",arabic96,arabic,male,2153,saudi arabia,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic96.mp3,,
169,19,4,"sharjah, united arab emirates",arabic97,arabic,female,2154,united arab emirates,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic97.mp3,,
170,19,4,"ras al khaimah, united arab emirates",arabic98,arabic,female,2155,united arab emirates,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic98.mp3,,
171,25,16,"ad dammam, saudi arabia",arabic99,arabic,female,2157,saudi arabia,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic99.mp3,,
172,19,9,"yerevan, armenia",armenian1,armenian,female,24,armenia,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/armenian1.mp3,,
173,44,7,"tehran, iran",armenian2,armenian,female,435,iran,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/armenian2.mp3,,
174,54,12,"yerevan, armenia",armenian3,armenian,female,849,armenia,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/armenian3.mp3,,
175,27,12,"tbilisi, republic of georgia",armenian4,armenian,female,947,republic of georgia,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/armenian4.mp3,,
176,21,15,"yerevan, armenia",armenian5,armenian,female,997,armenia,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/armenian5.mp3,,
177,23,11,"armavir, russia",armenian6,armenian,male,1228,russia,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/armenian6.mp3,,
178,31,10,"tehran, iran",armenian7,armenian,male,1505,iran,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/armenian7.mp3,,
179,50,35,"yerevan, armenia",armenian8,armenian,female,1710,armenia,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/armenian8.mp3,,
180,42,1,"accra, ghana",ashanti1,ashanti,female,1977,ghana,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/ashanti1.mp3,,
